Unnamed: 0,Movie,Year,Certificate,Genre,Overview,Runtime,Rating,No.of.Ratings,tmdb_id,tmdb_title,language
65,Pelli Choopulu,2016.0,UA,"Comedy, Drama, Romance            ","    This is an urban rom-com in a modern setting where tradition still has a strong hold. The story starts with the ""pellichoopulu"" or arranged meeting of Prashanth (Vijay Deverakonda) and ...                See full summary »",125,8.2,5167,393841,Pelli Choopulu,Telugu
167,Sardaar Gabbar Singh,2016.0,UA,"Action, Comedy            ",    A kingdom called Rathanpur was taken ruthlessly by a feudal lord named Bhairav Singh. The princess of that empire was in a hopeless situation until a maverick cop named Sardaar Gabbar Singh came along.,164,4.8,2178,371811,Sardaar Gabbar Singh,Telugu
385,Shourya,2016.0,UA,"Romance, Thriller            ",    Shourya and Netra who have eloped to get married get involved in a bigger complication when one of them gets viciously attacked along their way.,124,6.9,733,420506,Shourya,Telugu
392,Okkadu Migiladu,2017.0,UA,Action            ,    Based on events during Srilankan civil war and Tamil refugees who were lost in sea without food and water for 10 days on their way to India.,141,7.2,725,486399,Okkadu Migiladu,Telugu
787,Oxygen,2017.0,UA,"Action, Thriller            ","    Krishna arrives in India to get married to Shruti, but when Krishna saves her father from an attack, it is revealed he has a hidden agenda.",156,5.5,201,482477,Oxygen,Telugu
388,LIE,2017.0,UA,"Action, Thriller            ","    Sathyam is hired by the National Investigation Agency to help catch Padmanabham, the master of disguise, by following a suit which he is assumed to have an obsession with.",145,5.9,730,463476,LIE,Telugu
1237,Next Nuvve,2017.0,A,Horror            ,    A hotel business owner (Aadi Sai Kumar) is blackmailed by his partner (Jayaprakash Reddy) to repay his debt in order to save lives of hotel customers.,142,5.8,64,484922,Next Nuvve,Telugu
73,Jai Lava Kusa,2017.0,UA,"Action, Drama            ","    Sidelined at a very young age due to stammering, the eldest of identical triplets develops hatred for his younger brothers and creates havoc in their lives as they all reunite as adults.",150,7.0,4872,101736,Jai Lava Kusa,Telugu
1050,Babu Baga Busy,2017.0,A,Comedy            ,    A man's sexual affairs with different woman in different stages of life comes to an end when he meets a girl accidentally.,126,6.4,92,459803,Babu Baga Busy,Telugu
769,Om Namo Venkatesaya,2017.0,U,"Biography, Fantasy            ",    The life of Hathiram Baba is chronicled in this devotional biopic.,140,7.2,213,443640,Om Namo Venkatesaya,Telugu
1253,Balakrishnudu,2017.0,UA,"Action, Comedy, Romance            ","    A local toughie is hired as a bodyguard to protect a girl from the rivals of her family and becomes a natural target for her enemies. In the process, he ends up falling in love with her.",130,4.6,62,494401,Balakrishnudu,Telugu
737,Arjun Reddy,2017.0,UA,"Drama, Romance            ",    A thief falls in love and this changes his life.,143,5.0,232,473234,Arjun Reddy,Telugu
798,Radha,2017.0,,"Action, Comedy, Romance            ",    A romantic drama starring Sharwanand and Lavanya Tripathi.,126,5.4,192,457648,Radha,Telugu
773,Mister,2017.0,UA,Drama            ,"    Chai lives in Spain with his family where he meets and falls in love with Meera. Chai's fate takes a turn when he travels to India and meets Chandramukhi, who falls for him.",160,3.9,212,461253,Mister,Telugu
309,MalliRaava,2017.0,U,"Drama, Romance            ","    The love story of Karthik and Anjali, whose paths cross at three different phases of their lives.",129,8.0,973,492261,Malli Raava,Telugu
1046,Napoleon,2017.0,,"Drama, Mystery            ",    The curious case of a missing shadow. Napoleon (Anand Ravi) visits a police station and lodges a complaint that his shadow is missing. This unique case becomes the talk of the town. ...                See full summary »,119,7.4,93,501226,Napoleon,Telugu
169,Ninnu Kori,2017.0,U,"Comedy, Romance            ","    Two lovers, Pallavi and Uma get separated by circumstances, but reconnect years later, when Pallavi is happily married to someone else.",137,7.6,2166,465099,Ninnu Kori,Telugu
182,Katamarayudu,2017.0,UA,"Action, Comedy            ",    A man with a violent streak is trying to reform but gets pushed into a situation where he has to take action.,146,5.7,1933,440794,Katamarayudu,Telugu
1110,Nakshatram,2017.0,UA,Action            ,    A police aspirant dons the uniform of a sincere police officer who goes missing and unfolds the nexus behind the officer's sudden disappearance.,167,4.3,83,461426,Nakshatram,Telugu
184,Gautamiputra Satakarni,2017.0,UA,"Action, History            ",    This movie chronicles the life of a South Indian ruler of the Satavahana Empire in South India in the 2nd century CE.,131,6.5,1909,434395,Gautamiputra Satakarni,Telugu
967,Kittu Unnadu Jagratha,2017.0,,Comedy            ,    A man (Raj Tarun) makes his living by kidnapping expensive dogs and hitting their owners up for ransom.,143,5.8,111,446008,Kittu Unnadu Jagratha,Telugu
210,Nenu Local,2017.0,UA,"Action, Comedy, Romance            ","    A happy-go-lucky man accidentally falls in love with a woman whose father despises him. To further complicate matters, his lover has another suitor, who is deemed more worthy of her.",150,6.4,1626,439057,Nenu Local,Telugu
317,PSV Garuda Vega,2017.0,UA,"Action, Drama            ","    A hacker tries to sell sensitive data related to a scam and an NIA officer accidentally gets involved, saving him from getting killed.",150,7.9,945,484423,PSV Garuda Vega,Telugu
121,Duvvada Jagannadham,2017.0,UA,"Action, Comedy            ","    Trained by a high profile cop, an encounter specialist masquerading as a Brahmin priest takes on a real estate crime organization after losing his uncle.",152,5.6,3087,443635,DJ: Duvvada Jagannadham,Telugu
932,Andhhagadu,2017.0,,Comedy            ,    Gautham (Raj Tarun) is a Radio jockey. He is a blind orphan. To fix his eyes he was looking for a donor. Then incidentally she met with a young female doctor Dr. Netra (Hebah Patel). He ...                See full summary »,132,5.7,122,460456,Andhhagadu,Telugu
119,Khaidi No 150,2017.0,UA,"Action, Drama            ",    A man (Chiranjeevi) on the wrong side of the law is moved by the plight of farmers to do the right thing.,142,6.0,3107,412326,Khaidi No. 150,Telugu
1195,Patel S.I.R,2017.0,,Action            ,"    Subhash Patel(Jagapati Babu) is a retired military officer who leads a happy and pleasant life with his family. Because of some unexpected events in his life, he targets DR's (Kabir Singh) ...                See full summary »",130,5.4,69,467242,Patel S.I.R,Telugu
115,Fidaa,2017.0,U,"Drama, Romance            ","    Varun and Bhanu, both from different worlds, face challenges in their relationship.",144,7.5,3154,467649,Fidaa,Telugu
895,Ami Thumi,2017.0,U,Comedy            ,    A tale of two pairs succeeding in their love life without hurting Thier parents.,125,6.6,137,462166,Ami Thumi,Telugu
