movie,year,genre,youtube_title,youtube_url
Gabbar Singh,2012.0,"Action, Comedy            ",Gabbar Singh Re-Release Trailer 4K || Pawan Kalyan || Harish Shankar || Sruthi Hassan || @NmediaENT,https://www.youtube.com/watch?v=8v7C0hqPLIg
Dhenikaina Ready,2012.0,"Action, Comedy            ",Dhenikaina Ready Movie Theatrical Trailer,https://www.youtube.com/watch?v=T0MR-DTriis
Krishnam Vande Jagadgurum,2012.0,Action            ,Krishnam Vande Jagadgurum Theatrical Trailer l  Krishnam Vande Jagadgurum Movie,https://www.youtube.com/watch?v=Gbv6mDaV_UE
Nippu,2012.0,"Action, Comedy, Drama            ",Nippu Official Theater Trailer Release,https://www.youtube.com/watch?v=JuOUgTZMDyU
Ko antey koti,2012.0,"Comedy, Crime, Romance            ",Ko Antey Koti theatrical trailer,https://www.youtube.com/watch?v=dDA_BVUxG6w
Julayi,2012.0,"Action, Comedy            ","Julayi Movie Theatrical Trailer - Allu Arjun, Ileana In",https://www.youtube.com/watch?v=jxYa6VkL4Oc
Endukante... Premanta,2012.0,"Comedy, Fantasy, Romance            ",Endukante Premanta Official Trailer,https://www.youtube.com/watch?v=ww6P56hRvLg
Adhinayakudu,2012.0,"Action, Drama            ","Adhinayakudu 4K Ultra HD Trailer🔥| Balakrishna Triple Role, Raai Lakshmi | Telugu Re‑Release",https://www.youtube.com/watch?v=kkTqc2tuVTc
Mithunam,2012.0,"Drama, Family            ","Midhunam Movie Trailer - SP Balasubrahmanyam, Lakshmi",https://www.youtube.com/watch?v=3eL_TCw7aa4
Avunu,2012.0,"Horror, Thriller            ",Avunu Telugu Movie Theatrical Trailer | Ravi Babu | Poorna | Harshvardhan Rane | Suresh Productions,https://www.youtube.com/watch?v=KIFJNawbIFQ
Sudigaadu,2012.0,"Action, Comedy            ","Sudigadu Movie Theatrical Trailer - Allari Naresh, Monal Gajjar In",https://www.youtube.com/watch?v=zlQQCCLnmcQ
Swamy Ra Ra,2013.0,Crime            ,Swamy Ra Ra: Theatrical Trailer (Official),https://www.youtube.com/watch?v=jE116V3a9pI
Greeku Veerudu,2013.0,Drama            ,"GreekuVeerudu Official Trailer (Nagarjunna,Nayanthara)",https://www.youtube.com/watch?v=tm_JKQ5bw-o
Mirchi,2013.0,"Action, Drama            ","Mirchi Movie Theatrical Trailer - Prabhas, Anushka Shetty, Richa Gangaopadhay",https://www.youtube.com/watch?v=I5cJMydo5Hc
Seethamma Vakitlo Sirimalle Chettu,2013.0,"Comedy, Drama, Family            ","Seethamma Vakitlo Sirimalle Chettu Re - Release Trailer - Venkatesh, Mahesh Babu | Dil Raju",https://www.youtube.com/watch?v=_c840-Ahuok
